,Unemployment Rate,metropolitan statistical area/micropolitan statistical area
352,3.7,10660
353,4.3,10700
354,6.0,10740
355,8.4,10760
356,6.2,10780
357,2.5,10820
358,6.2,10860
359,5.5,10900
360,5.7,10940
361,6.0,10980
362,4.3,11020
363,5.1,11060
364,3.4,11100
365,8.7,11140
366,4.1,11180
367,6.6,11220
368,6.5,11260
369,3.7,11380
370,3.2,11420
371,4.2,11460
372,8.1,11500
373,2.6,11540
374,4.8,11580
375,5.3,11620
376,13.2,11640
377,2.0,11660
378,3.3,11700
379,3.5,11740
380,6.9,11780
381,5.3,11820
382,2.8,11860
383,7.2,11900
384,6.0,11940
385,5.0,11980
386,6.1,12940
387,6.3,12980
388,5.1,12020
389,5.2,12060
390,8.4,12100
391,11.0,12120
392,3.5,12140
393,4.5,12180
394,5.2,12220
395,7.0,12260
396,4.0,12300
397,3.7,12380
398,4.2,12420
399,5.2,12460
400,9.8,12540
401,5.1,12580
402,5.0,12620
403,2.9,12660
404,4.5,12680
405,4.1,12700
406,3.2,12740
407,5.2,12780
408,4.1,12860
409,4.6,12900
410,6.4,13020
411,5.8,13060
412,3.4,13100
413,4.7,13140
414,4.0,13180
415,7.9,13220
416,4.4,13260
417,8.0,13300
418,4.5,13340
419,5.7,13380
420,7.2,13420
421,5.4,13460
422,12.0,13500
423,3.6,13540
424,5.5,13620
425,6.8,13660
426,7.0,13700
427,3.1,36780
428,3.9,36820
429,6.7,36830
430,5.5,36837
431,3.7,36840
432,5.9,36900
433,3.7,36940
434,5.3,36980
435,5.6,36020
436,8.3,36100
437,6.8,36140
438,6.1,36220
439,3.2,36260
440,7.4,36300
441,6.8,36340
442,6.7,36380
443,4.3,36420
444,5.5,36460
445,6.4,36500
446,3.6,36540
447,5.7,37060
448,5.1,37100
449,8.0,37120
450,4.3,37140
451,9.5,37220
452,8.7,37260
453,3.2,37300
454,5.2,37340
455,5.4,37420
456,5.1,37460
457,7.6,37500
458,4.7,37540
459,4.8,37580
460,4.6,37620
461,3.3,37660
462,8.8,37740
463,6.7,37770
464,8.9,37780
465,2.2,37800
466,5.9,37860
467,5.9,37900
468,4.9,37940
469,6.1,37980
470,5.2,38060
471,8.3,38100
472,2.6,38180
473,8.2,38220
474,4.8,38240
475,5.1,38260
476,4.8,38300
477,4.8,38340
478,4.8,38380
479,2.7,38420
480,4.4,38460
481,4.9,38500
482,5.6,38540
483,4.0,38580
484,6.7,38620
485,17.4,38660
486,5.1,38700
487,7.4,38740
488,8.7,38780
489,7.7,38820
490,3.3,38860
491,4.7,38900
492,5.5,38920
493,5.3,38940
494,7.7,39020
495,5.8,39060
496,4.6,39100
497,5.7,39150
498,7.0,39220
499,6.9,39260
500,5.4,39300
501,3.6,39340
502,7.5,39380
503,8.1,39420
504,5.9,39460
505,4.2,39500
506,4.3,39540
507,4.2,39580
508,3.9,39660
509,13.8,39700
510,5.9,39740
511,8.6,39780
512,5.5,39820
513,3.4,39860
514,5.3,39900
515,6.5,39940
516,5.2,39980
517,7.8,40420
518,8.7,40460
519,7.5,40530
520,6.1,40540
521,7.1,40580
522,5.2,40620
523,5.4,40660
524,6.6,40700
525,5.1,40740
526,4.4,40760
527,5.8,40780
528,4.6,40820
529,3.1,40860
530,6.0,40900
531,8.3,40940
532,6.9,40980
533,5.0,40060
534,6.3,40080
535,14.6,40100
536,7.6,40140
537,5.9,40180
538,4.5,40220
539,7.3,40260
540,5.8,40300
541,3.0,40340
542,5.1,40380
543,4.3,41060
544,3.5,41100
545,4.1,41140
546,5.0,41180
547,7.0,41220
548,4.5,41260
549,6.6,41400
550,5.7,41420
551,3.2,41460
552,4.9,41500
553,5.5,41540
554,3.6,41620
555,3.9,41660
556,5.1,41700
557,6.0,41740
558,3.4,41760
559,5.0,41780
560,7.0,41820
561,4.5,41860
562,14.8,41900
563,4.4,41940
564,15.9,41980
565,4.6,42380
566,4.9,42420
567,5.1,42460
568,5.0,42500
569,5.2,42540
570,5.7,42620
571,4.4,42660
572,6.5,42680
573,9.5,42700
574,6.0,42740
575,2.6,42780
576,11.0,42820
577,5.5,42860
578,3.6,42900
579,4.7,42940
580,4.3,42980
581,4.0,42020
